suffix,alpha,beta,gamma,k,latency,energy,cost,dec_time,qos_violation,score
0,0.2,0.3,0.5,4,123.45,0.34,0.29,0.03,2.1,114.8
1,0.4,0.3,0.3,4,132.22,0.36,0.24,0.04,1.9,145.3
2,0.6,0.3,0.1,4,128.01,0.31,0.18,0.02,1.6,165.9
3,0.2,0.5,0.3,4,110.67,0.44,0.22,0.03,2.3,109.2
4,0.4,0.5,0.1,4,118.29,0.41,0.17,0.02,1.8,139.6
5,0.3,0.2,0.5,4,129.88,0.29,0.26,0.03,2.0,120.1
6,0.5,0.2,0.3,4,130.42,0.33,0.23,0.04,1.7,152.4
7,0.3,0.4,0.3,4,124.12,0.38,0.21,0.03,2.2,127.8
8,0.6,0.1,0.3,4,133.55,0.27,0.25,0.04,1.5,162.7
9,0.5,0.3,0.2,4,121.75,0.36,0.19,0.02,1.9,150.2
10,0.4,0.2,0.4,4,127.44,0.32,0.28,0.03,1.6,142.5
11,0.1,0.4,0.5,4,119.99,0.39,0.27,0.03,2.4,104.6
12,0.3,0.3,0.4,4,122.58,0.34,0.25,0.04,2.0,126.7

